AL, 14, 2024100500, 01, CARQ, -24, 205N,  947W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 14, 2024100500, 01, CARQ, -18, 208N,  951W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 14, 2024100500, 01, CARQ, -12, 211N,  953W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 332,   4,     INVEST,  , 
AL, 14, 2024100500, 01, CARQ,  -6, 215N,  955W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 14, 2024100500, 01, CARQ,   0, 220N,  955W,  25, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1011,  200,  60,   0,   0,   L,   0,   X, 345,   4,     INVEST, S, 
AL, 14, 2024100500, 01, CARQ,   0, 220N,  955W,  25, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1011,  200,  60,   0,   0,   L,   0,   X, 345,   4,     INVEST, S, 
AL, 14, 2024100500, 01, CARQ,   0, 220N,  955W,  25, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1011,  200,  60,   0,   0,   L,   0,   X, 345,   4,     INVEST, S, 
AL, 14, 2024100500, 03,  CMC,   0, 209N,  951W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 14, 2024100500, 03,  CMC,   6, 215N,  953W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 14, 2024100500, 03,  CMC,  12, 221N,  959W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 14, 2024100500, 03,  CMC,  18, 224N,  957W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 14, 2024100500, 03,  CMC,  24, 224N,  955W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 14, 2024100500, 03,  CMC,  30, 226N,  952W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 14, 2024100500, 03,  CMC,  36, 225N,  950W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 14, 2024100500, 03,  CMC,  42, 224N,  943W,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 14, 2024100500, 03,  CMC,  48, 224N,  937W,  34, 1001, XX,  34, NEQ,    0,    0,    0,   47, 
AL, 14, 2024100500, 03,  CMC,  54, 221N,  932W,  40, 1000, XX,  34, NEQ,    0,    0,   62,   73, 
AL, 14, 2024100500, 03,  CMC,  60, 220N,  927W,  43,  996, XX,  34, NEQ,    0,   69,   71,   79, 
AL, 14, 2024100500, 03,  CMC,  66, 218N,  923W,  37,  995, XX,  34, NEQ,    0,   69,  237,   67, 
AL, 14, 2024100500, 03,  CMC,  72, 216N,  916W,  40,  991, XX,  34, NEQ,    0,   62,  270,   67, 
